"","endoBYo","AveExpr","F","P.Value","adj.P.Val"
"Pdrg1",-1.5419558407481,5.44989396697377,14.5647598342884,0.000658376866480303,0.0101115615430964
"Gm35154",1.13731849064573,0.975518772835723,14.5636895953962,0.000658624968747543,0.0101115615430964
"Myo18a",-1.54894687781868,3.06455446302796,14.5606080311407,0.000659339897047515,0.0101155177131638
"Mpst",-1.9548452030929,3.91555858751865,14.548347322243,0.000662192677634066,0.0101522443571022
"Bex2",-4.37021147582663,3.5701265221664,14.5451118797518,0.000662947700557495,0.0101567811491922
"Paqr4",-2.92094501016522,4.32355355236598,14.5394862762535,0.00066426269610632,0.0101698848622561
"3300002P13Rik",-2.47602800839128,1.04072190560745,14.5368629253409,0.000664876867918817,0.0101701165995257
"Rsph3b",-0.880364429660985,0.737252002705669,14.5341321171259,0.000665516845947281,0.0101701165995257
"Smarcd1",-2.08101589930169,4.99553186987987,14.5320863862662,0.000665996706708976,0.0101701165995257
"5930409G06Rik",-3.19848155291537,1.3475135494172,14.5315752357744,0.000666116663775835,0.0101701165995257
"Ifnar2",1.36547490660451,2.4639486098058,14.5106564738204,0.00067104587371749,0.0102340020812495
"Xpo6",-1.68132643139272,3.20407825409805,14.5098943726872,0.000671226190837275,0.0102340020812495
"Fam71e1",-2.00504382861732,1.61160147683882,14.4948522693608,0.000674795913646588,0.0102813429735561
"Dot1l",-1.84973988824844,3.30575761384652,14.4922913983677,0.000675405678454134,0.0102835511524025
"Rpl26",1.80439250237491,7.53499340423035,14.4774043279983,0.000678962166998044,0.0103305914858994
"Dnlz",-1.26116131137119,5.47136000138425,14.4736125203308,0.000679871235404346,0.0103373136363233
"Zfp956",-2.59350931888699,2.86130991156069,14.469489966168,0.00068086108384647,0.010345253954626
"Rabggta",-1.90993361428911,4.79563273847262,14.4601397470977,0.000683111871357191,0.0103723293960433
"Pdxp",-2.47212390754192,2.39630899526714,14.4550889653981,0.000684331023842646,0.0103837141567016
"Slc3a1",-2.2199199934343,1.57780414988513,14.450134941561,0.000685529093933147,0.010394763636109
"Shisa8",-2.82227284389231,1.43653093626301,14.4477661885987,0.000686102744658991,0.0103963363151307
"Akt2",-2.34474850358562,3.24430241544295,14.4417983824842,0.000687550282454003,0.0104111395610745
"Tgfb1i1",2.52883907966803,2.00597844780644,14.4327662610497,0.000689747343064621,0.0104372643437884
"Uqcc1",-1.30338723270769,2.07737789404504,14.4121102525833,0.00069480033434464,0.0105054285177909
"Edn1",4.74081859309058,1.61306985821343,14.4104764226437,0.000695201706371014,0.0105054285177909
"Ralgps1",-1.83069047273524,1.33494278285495,14.4064168304521,0.000696200078830398,0.0105133340231842
"Nat14",-2.45298842246269,3.01604125980597,14.3903580136171,0.000700164548748159,0.0105659892987418
"Isyna1",4.00887218412869,7.08254530523961,14.3837873170128,0.000701793660762787,0.0105833545719531
"5033417F24Rik",-2.34491549971648,1.67184187015042,14.3815680690241,0.00070234481254225,0.0105844511497767
"Tmem97",-1.58482185457976,4.03200387338344,14.3793298921896,0.000702901136731862,0.010585624130646
"BC005624",-1.26291293283648,4.86423407141698,14.3748432798736,0.000704017762437889,0.0105950765401496
"Elf1",1.2647919737317,2.66234840035371,14.3729616688658,0.000704486624352936,0.0105950765401496
